No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考
101,天塩岳,43.9644444,142.8880555,てしおだけ,1558,北海道,北海道,
102,石狩岳,43.5466666,143.0222222,いしかりだけ,1967,北海道,北海道,
103,ニペソツ山,43.4558333,143.0322222,にぺそつやま,2013,北海道,北海道,
104,カムイエクウチカウシ山,42.625,142.7663888,かむいえくうちかうしやま,1979,北海道,北海道,H26年標高変更
105,ペテガリ岳,42.4994444,142.8711111,ぺてがりだけ,1736,北海道,北海道,
106,芦別岳,43.2358333,142.2836111,あしべつだけ,1726,北海道,北海道,
107,夕張岳,43.0997222,142.2511111,ゆうばりだけ,1668,北海道,北海道,
108,署寒別岳,43.7158333,141.5230555,しょかんべつだけ,1492,北海道,北海道,
109,樽前山,42.6905555,141.3766666,たるまえさん,1041,北海道,北海道,
110,駒ヶ岳（剣ヶ峰）,42.0633333,140.6772222,こまがたけ（けんがみね）,1131,北海道,北海道,
111,白神岳,40.5075,140.0183333,しらかみだけ,1235,青森県,東北,
112,姫神山,39.8441666,141.2469444,ひめかみやま,1124,岩手県,東北,
113,秋田駒ヶ岳（男女岳）,39.7611111,140.7994444,あきたこまがたけ（おなめだけ）,1637,秋田県,東北,
114,森吉山,39.9766666,140.5441666,もりよしざん,1454,秋田県,東北,
115,和賀岳,39.5702777,140.7541666,わがだけ,1439,岩手県・秋田県,東北,H26年標高変更
116,焼石岳,39.1636111,140.8288888,やけいしだけ,1547,岩手県,東北,H23年標高変更
117,栗駒山,38.9608333,140.7883333,くりこまやま,1626,岩手県・宮城県,東北,H26年標高変更
118,神室山,38.9022222,140.4922222,かむろさん,1365,秋田県･山形県,東北,
119,以東岳,38.3430555,139.8491666,いとうだけ,1772,山形県・新潟県,東北,H22年標高変更
120,船形山（御所山）,38.4555555,140.6197222,ふながたやま（ごしょざん）,1500,宮城県・山形県,東北,
121,杁差岳,37.9425,139.6088888,えぶりさしだけ,1636,新潟県,東北,
122,二王子岳,37.8997222,139.4991666,にのうじだけ,1420,新潟県,東北,
